AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2018,52,Nariño,314579,67.88,84.54,49.04,81.82,69.66,35.6,98.98,79.38,107.7,105.88,74.99,,,1.34,0.92,0.79,2.12,1.38,95.42,98.52,96.33,93.44,96.07,3.24,0.56,2.88,4.44,2.55,2.94,0.56,2.55,4.29,1.52
2018,54,Norte de Santander,307526,93.58,91.62,65.88,91.76,74.5,40.56,106.28,96.89,112.39,110.57,87.61,,,3.95,4.92,3.36,4.7,3.49,90.55,94.68,92.65,86.7,90.17,5.5,0.4,3.99,8.6,6.34,1.41,0.4,1.35,1.94,0.81
2018,63,Quindio,83383,76.15,98.35,67.93,95.26,89.06,54.66,110.83,97.88,111.74,122.46,93.1,,,4.17,4.71,3.18,5.39,3.45,89.17,94.86,92.3,84.34,90.52,6.67,0.43,4.53,10.27,6.02,1.08,0.43,0.86,1.66,0.63
2018,66,Risaralda,157477,86.17,98.4,69.6,96.23,84.42,49.19,114.09,99.71,116.3,123.34,98.13,,,4.23,4.81,3.41,5.53,2.96,88.74,94.23,91.34,83.68,91.25,7.04,0.96,5.25,10.79,5.79,0.76,0.96,0.82,0.96,0.3
2018,68,Santander,401463,97.79,96.06,67.51,94.88,83.83,49.63,108.08,101.94,111.16,113.07,94.05,,,3.2,4.24,2.41,4.1,2.7,89.46,95.31,93.15,83.61,89.96,7.34,0.45,4.44,12.29,7.35,1.73,0.45,1.43,2.71,0.71
2018,70,Sucre,201443,98.08,95.99,72.16,95.33,75.31,41.67,110.42,132.2,121.35,107.2,80.24,,,2.78,3.42,2.16,3.62,2.24,87.36,95.24,88.93,82.25,89.03,9.86,1.33,8.91,14.13,8.73,1.28,1.33,1.28,1.73,0.77
2018,73,Tolima,255496,83.88,98.54,72.09,98.2,83.51,46.72,110.66,104.33,120.25,115.05,83.85,,,3.02,3.54,2.37,3.89,2.48,90.56,96.11,92.92,86.06,92.04,6.42,0.35,4.71,10.05,5.48,0.84,0.35,0.84,1.11,0.41
2018,76,Valle del Cauca,861316,79.27,80.36,53.98,76.19,71.45,40.2,91.87,78.67,92.92,101.16,77.31,,,3.26,3.83,2.74,3.99,2.49,89.22,95.67,91.63,84.65,91.17,7.52,0.5,5.63,11.36,6.34,1.1,0.5,1.06,1.44,0.59
2018,81,Arauca,60962,77.02,94.93,61.66,93.81,74.65,36.66,112.21,103.46,129.12,110.95,76.73,,,2.63,2.83,2.21,3.32,2.35,97.29,97.17,97.79,96.68,96.8,0.08,0,0,0,0.86,4.46,0,4.08,6.53,1.91
2018,85,Casanare,92859,96.81,93.05,71.43,91.01,78.86,44.09,104.3,96.28,108.97,111.24,83.02,,,2.69,3.08,2.12,3.47,2.31,90.77,96.36,93.26,85.72,92.33,6.54,0.57,4.62,10.81,5.36,2,0.57,2.01,2.84,0.63
2018,86,Putumayo,80972,75,84.28,45.66,80.71,71.04,36.59,96.55,84.08,101.34,104.24,75.88,,,5.21,4.86,3.59,7.37,5.27,86.88,94.45,90.49,80.59,87.1,7.9,0.68,5.93,12.04,7.63,2.15,0.68,1.78,3.24,1.24
2018,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",10853,67.34,93.4,68.69,92.96,84.23,50.9,99.93,92.31,105.6,108.41,73.04,,,1.97,1.61,2.47,1.8,0.71,93.79,98.39,94.93,90.7,95.51,4.25,0,2.6,7.5,3.78,2.31,0,2.21,3.35,0.51
2018,91,Amazonas,22257,81.13,81.46,45.99,78.33,61.51,31.51,95.04,83.23,103.7,96.52,73.54,,,4.87,5.31,3.09,7.18,6.02,91.17,94.63,91.95,89.46,89.98,3.96,0.07,4.95,3.36,4,4.12,0.07,4.55,4.61,1.49
2018,94,Guainía,15766,81.64,62.28,46.4,61.95,28.93,6.79,77.05,83.26,96.08,68.66,38.72,,,7.14,9.88,5.53,9.82,5.47,77.64,84.88,77.82,72.84,85.69,15.22,5.25,16.65,17.34,8.84,5.08,5.25,5.91,4.1,2.09
2018,95,Guaviare,21118,55.7,84.61,42.44,82.1,66.5,31.14,105.08,75.29,122.45,106.43,73.13,,,3.36,4.01,2.58,4.63,2.63,87.78,94.55,90.49,81.78,88.75,8.86,1.44,6.93,13.59,8.62,3.46,1.44,3.46,4.47,1.75
2018,97,Vaupés,15363,61.64,50.79,22.82,51.12,30.54,11.35,59.79,37.18,74.44,55.61,39.76,,,3.88,4.93,3.13,4.93,4.65,85.38,93.43,85.37,83.84,85.44,10.74,1.64,11.5,11.22,9.91,2.26,1.64,2.58,2.33,0.75
2018,99,Vichada,32951,78.13,53.74,30.74,56.68,24.06,9.36,61.92,53.68,90.98,43.77,24.53,,,7.14,7.39,6.52,8.99,5.97,75.25,92.61,70.72,78.71,88.06,17.6,0,22.76,12.3,5.97,5.62,0,7.28,3.63,1.01
2019,5,Antioquia,1149985,94,93.83,67.86,90.24,82.6,45.04,107.57,87.63,109.35,120.21,88.35,,,4.02,3.73,3.29,5.33,2.95,88.38,96.09,90.73,83.11,91.37,7.59,0.18,5.98,11.56,5.68,3.19,0.18,2.92,4.65,1.37
2019,8,Atlántico,533666,92.07,91.69,62.69,89.36,76.94,48.95,100.2,94.31,106.54,102.06,84,,,1.26,1.72,1.28,1.26,0.9,92.91,97.01,93.88,90.11,94.78,5.83,1.26,4.83,8.63,4.32,1,1.26,1.06,1.18,0.42
2019,11,"Bogotá, D.C.",1181531,96.82,96.3,69.11,96.22,87.52,55.49,104.93,88.1,108.98,110.95,92.09,,,1.6,2.12,1.38,1.82,1.41,97.5,97.85,98.08,97.2,96.25,0.9,0.03,0.53,0.98,2.34,2.62,0.03,2.26,3.98,1.44
2019,13,Bolívar,461988,99.44,99.33,67.67,97.81,80.64,45.43,112.39,110.17,120.35,116.94,84.78,,,2.99,4.01,2.63,3.42,2.38,90.5,95.17,91.67,87.33,91.58,6.51,0.82,5.7,9.25,6.04,3.59,0.82,3.52,4.74,2.07
2019,15,Boyacá,234368,96.6,96.51,69.07,92.04,90.11,59.33,108.44,90.55,104.85,120.16,102.3,,,2.05,2.03,1.29,2.8,2.26,92.02,97.75,95.23,87.46,92.26,5.93,0.23,3.47,9.75,5.48,1.92,0.23,1.41,3,1.24
2019,17,Caldas,161892,85.98,85.88,64.61,80.79,77.45,46.42,97.69,82.51,95.49,110.08,85.94,,,3.31,2.82,2.67,4.32,2.7,89.01,96.64,91.88,83.72,91.23,7.68,0.53,5.46,11.95,6.07,3.67,0.53,3.04,5.42,2.2
2019,18,Caquetá,98675,90.52,90.49,57.8,89.2,68.56,33.58,105.49,90.07,115.07,104.18,91.47,,,5.32,6.44,4.68,6.26,4.45,92.63,93.15,93.4,91.22,93.03,2.05,0.41,1.91,2.51,2.53,2.6,0.41,2.7,3.28,1.12
2019,19,Cauca,299016,84.42,84.39,54.49,85.23,68.78,36.42,100.7,90.74,106.93,104.26,84.1,,,2.78,2.58,1.86,3.83,3.62,90.65,96.78,92,87.22,91.1,6.56,0.65,6.14,8.94,5.28,1.3,0.65,1.05,1.98,0.99
2019,20,Cesar,296234,90.77,90.57,56,88.23,71.4,40.08,102.06,99.46,112.13,102.39,76.4,,,4.11,5.58,3.87,4.54,2.63,89.08,93.5,90.54,85.4,90.76,6.81,0.92,5.59,10.06,6.61,1.07,0.92,0.86,1.55,0.73
2019,23,Córdoba,387454,94.23,94.16,54.9,89.17,79.23,45.26,107.57,100.47,113.84,112.85,84.74,,,2.64,3.95,2.02,3.21,2.47,93.6,95.2,94.59,92.05,93.32,3.76,0.85,3.4,4.75,4.2,3.42,0.85,3.36,4.29,2.08
2019,25,Cundinamarca,570377,96.14,95.86,65.93,94.63,85.96,49.7,106.07,93.54,109.27,114.63,88.08,,,3.02,3.72,2.22,4,2.51,91.68,95.6,94.29,87.44,92.89,5.3,0.67,3.49,8.57,4.59,1.74,0.67,1.33,2.76,0.82
2019,27,Chocó,143999,82.64,82.64,53.13,84.13,53.38,23.92,103.24,91.52,124.17,94.1,72.49,,,2.8,3.22,2.31,3.73,2.34,88.46,96.7,88.47,84.91,92.46,8.74,0.08,9.21,11.36,5.21,1.08,0.08,1.53,0.71,0.26
2019,41,Huila,242194,94.2,94.12,68.48,92.18,81.35,45.83,105.3,97.37,109.96,113.03,81.96,,,4.48,3.9,2.87,6.96,3.75,85.86,95.75,90.39,77.04,87.42,9.67,0.35,6.73,16,8.83,2.84,0.35,2.31,4.42,1.87
2019,44,La Guajira,245778,92.92,92.86,72.01,93.02,57.99,25.08,103.71,112.96,126.79,94.02,54.34,,,2.51,3.31,2.32,2.73,1.94,93.27,95.82,93.29,91.95,94.89,4.21,0.87,4.38,5.32,3.17,3.59,0.87,4.4,3.26,0.84
2019,47,Magdalena,323546,97.49,97.27,61.86,91.83,73.84,41.03,114.32,117.09,121.8,117.06,88.25,,,3.5,4.25,2.99,4.03,3.33,93.68,95.12,94.42,92.07,94.45,2.83,0.63,2.59,3.91,2.23,1.53,0.63,1.61,1.66,0.61
2019,50,Meta,218194,93.59,93.51,64.64,91.63,79.83,44.99,107.15,94.58,110.22,109.71,100.67,,,3.97,5.28,3.26,4.9,3.1,90.99,94.62,93.15,86.99,92.39,5.04,0.1,3.59,8.11,4.51,1.03,0.1,0.78,1.71,0.55
2019,52,Nariño,309763,84,83.95,53.02,79.87,69.44,38,98.35,79.69,103.73,106.3,79.43,,,1.45,1.16,0.96,2.1,1.53,95.85,98.56,96.99,93.89,95.87,2.7,0.29,2.05,4.01,2.6,3.23,0.29,2.81,4.8,1.59
2019,54,Norte de Santander,318252,92.25,92.18,64.42,91.15,76.09,41.87,106.49,92.94,111.14,111.31,92.28,,,3.25,4.26,2.97,3.61,2.58,90.56,94.9,92.43,86.83,90.96,6.19,0.85,4.6,9.56,6.46,1.37,0.85,1.34,1.83,0.77
2019,63,Quindio,83130,96.77,96.73,69.76,93.4,87.85,53.61,109.23,98.02,109.84,120.02,93.02,,,3.94,3.44,3.09,5.05,3.64,88.13,96.29,91.47,82.49,89.53,7.93,0.27,5.44,12.46,6.83,1.04,0.27,0.73,1.64,0.75
2019,66,Risaralda,156174,99.14,98.88,69.78,95.57,86.25,50.47,114.85,99.96,114.3,125.75,102.21,,,4.99,5.83,3.78,6.68,3.73,88.6,93.36,91.66,83.12,91.46,6.41,0.81,4.55,10.2,4.81,1.16,0.81,0.91,1.9,0.45
2019,68,Santander,405798,96.38,96.2,67.64,94.58,84.7,49.96,106.83,100.52,109.33,114.34,89.26,,,3.01,3.85,2.41,3.79,2.27,89.53,95.69,93.03,83.79,90.47,7.47,0.46,4.56,12.42,7.26,1.91,0.46,1.49,2.96,1.17
2019,70,Sucre,203411,95.93,95.88,68.35,94.94,76.35,41.9,108.96,127.39,116.79,108.63,81.84,,,3,3.67,2.38,3.86,2.33,87.91,95.35,89.48,82.93,90.01,9.09,0.99,8.14,13.21,7.66,1.17,0.99,1.05,1.73,0.69
2019,73,Tolima,251347,99.2,99.1,72.23,97.58,85.03,48.77,110.63,105.32,116.5,117.44,86.82,,,3.7,4.35,2.94,4.8,2.77,89.84,95.37,92.51,84.94,91.65,6.45,0.27,4.55,10.25,5.59,0.75,0.27,0.76,0.99,0.34
2019,76,Valle del Cauca,854243,81.68,81.46,55.95,76.71,72.69,41.95,92.62,78.13,92.39,102.53,80.57,,,3.92,4.75,3.36,4.7,2.98,88.84,94.54,91.13,84.5,91.21,7.25,0.71,5.51,10.8,5.81,1.17,0.71,1.06,1.64,0.61
2019,81,Arauca,64095,93.09,93.06,58.17,91.77,73.22,37.31,106.49,99.4,115.96,109.03,80.99,,,4.02,4.98,3.66,4.73,2.46,95.31,94.9,95.73,94.42,96.65,0.67,0.12,0.61,0.85,0.89,3.82,0.12,3.7,5.1,1.89
2019,85,Casanare,93431,93.46,93.43,69.21,91.44,80.9,44.98,104.68,94.71,107.83,113.91,83.55,,,3.01,3.96,2.67,3.54,2.07,90.13,95.78,92.48,84.94,92.96,6.86,0.26,4.85,11.52,4.97,1.9,0.26,1.7,2.91,0.64
2019,86,Putumayo,80890,84.83,84.83,48.43,81.13,72.12,37.16,96.73,85.2,100.14,105.88,76.07,,,5.39,5.81,3.71,7.32,5.72,85.7,93.61,89.75,79,85.49,8.91,0.58,6.54,13.68,8.79,1.89,0.58,1.36,2.99,1.54
2019,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",11002,91.92,91.87,73.12,90.97,82.13,49.97,98.59,88.57,103.61,106.51,75.5,,,2.08,1.31,2.08,2.44,1.49,88.64,97.88,91.51,82.35,90.32,9.28,0.82,6.41,15.21,8.19,3.86,0.82,3.35,6.08,0.96
2019,91,Amazonas,22435,81.4,81.4,53.19,78.9,60.64,29.73,95.56,99.08,103.43,95.95,70.41,,,4.17,6.4,2.76,5.17,6.03,88.23,93.21,91.1,83.53,83.85,7.6,0.39,6.14,11.3,10.13,7.07,0.39,6.36,9.54,6.54
2019,94,Guainía,15808,66.26,66.26,48.64,67.19,31.46,8.69,80.77,87.79,100.39,71.92,42.29,,,5.7,6.34,4.58,7.47,6.95,78.65,90.67,79.38,71.28,84.56,15.65,3,16.03,21.25,8.49,7.31,3,8.29,8.13,3.6
2019,95,Guaviare,21301,83.11,83.09,42.11,79.69,68.44,30.38,100.82,77.11,109.68,109.47,72.9,,,4.47,6.67,4,4.95,3.37,88.03,92.64,90.54,82.99,89.29,7.5,0.69,5.46,12.06,7.35,1.64,0.69,1.69,2.18,0.4
2019,97,Vaupés,15675,52.33,52.33,22.63,55.02,29.99,13.08,61.04,33.41,77.91,56.12,40.26,,,3.04,4.82,1.8,5.08,3.29,90.08,94.95,91.85,86.4,88.2,6.88,0.23,6.35,8.52,8.5,3.71,0.23,4.03,4.37,0.82
2019,99,Vichada,33198,55.51,55.51,35.98,59.19,25,8.73,62.42,57.64,90.21,46.04,23.92,,,7.63,7,7.45,8.96,4.78,74.92,90.97,71.3,76.56,86.31,17.44,2.04,21.26,14.48,8.92,7.82,2.04,10.66,4.32,1.47
2020,5,Antioquia,1151149,93.59,93.43,70.25,88.26,83.38,47.45,106.19,88.33,105.36,119.54,90.74,,,2.3,2.23,1.98,2.72,2.21,89.97,96.97,92.19,85.81,90.67,7.73,0.79,5.83,11.46,7.12,6.48,0.79,5.92,9.37,3.17
2020,8,Atlántico,542750,92.75,92.38,64.16,89.39,78.67,49.83,100.38,94.39,106.35,101.76,85.96,,,1.41,1.4,1.46,1.49,1,94.04,95.48,94.41,92.64,95.83,4.55,3.12,4.14,5.88,3.17,4.27,3.12,3.98,6.05,2.13
2020,11,Bogotá D.C.,1181597,96.41,95.89,69.15,93.79,89.06,57.3,104.74,85.9,106.07,111.81,97.06,,,0.46,0.52,0.5,0.38,0.55,94.4,99.06,96.29,92.11,92.12,5.14,0.42,3.21,7.51,7.33,3.75,0.42,3.14,5.71,2.27
2020,13,Bolívar,466941,98.91,98.8,66.16,96.52,81.8,47.79,110.4,104.42,117.7,114.19,87.6,,,2.03,1.77,1.75,2.52,1.93,94.06,95.83,95.1,92.1,94.33,3.91,2.4,3.15,5.38,3.74,5.92,2.4,5.99,7.71,3.29
2020,15,Boyacá,234540,94.91,94.84,68.86,90.33,89.76,58.72,103.67,89.14,101.34,113.45,96.79,,,1.7,1.51,1.04,2.15,2.39,90.55,97.68,95.24,85.17,88.39,7.75,0.81,3.71,12.68,9.22,5.42,0.81,3.81,8.55,3.95
2020,17,Caldas,161746,84.65,84.57,63.32,78.77,76.79,49.02,96.32,79.87,92.36,108.42,89.81,,,2.35,1.52,1.72,3.11,2.49,92.89,98.15,95.24,89.54,92.62,4.76,0.33,3.04,7.35,4.89,6.48,0.33,5.59,9.66,3.27
2020,18,Caquetá,98602,88.94,88.91,57.46,88.03,69.09,33.55,101.54,89.18,112.3,101.89,79.78,,,6.28,5.27,5.67,7.56,5.76,83.74,93.56,85.57,78.78,83.69,9.98,1.17,8.76,13.66,10.54,4.19,1.17,4.34,5.35,2.08
2020,19,Cauca,296813,85,84.97,54.92,85.48,70.04,38.72,95.43,88.61,104.87,96.75,74.07,,,1.59,1.46,1.06,2.08,2.4,91.93,97.84,93.88,88.38,90.58,6.48,0.7,5.06,9.54,7.02,5.87,0.7,6.06,7.73,3.14
2020,20,Cesar,302403,89.88,89.73,56.65,86.96,71.9,40.41,99.16,96.11,108.6,100.26,73.78,,,8.58,6.36,5.97,6.36,29.89,82.4,87.11,87.38,80.28,62.63,9.02,6.53,6.66,13.35,7.48,5.24,6.53,4.81,7.4,3.3
2020,23,Córdoba,388446,93.27,93.21,54.06,87.47,80.12,46.3,103.59,97.93,108.22,109.68,82.48,,,2.54,3.84,1.87,2.95,2.93,92.27,91.85,94.15,90.06,92.07,5.2,4.31,3.98,6.99,5,5.84,4.31,5.83,7.36,3.76
2020,25,Cundinamarca,592264,93.68,93.42,64.47,90.32,86.08,50.35,103.27,89.51,103.47,113.34,89.89,,,2.78,3.36,2.34,2.93,3.56,90.58,95.03,93.77,86.57,89.18,6.63,1.61,3.89,10.51,7.26,5.29,1.61,4.22,8.09,3.04
2020,27,Chocó,143711,83.98,83.97,53.17,85.84,55.87,26.01,94.63,90.95,116.95,86.55,54.3,,,2.04,1.64,1.57,2.82,2.54,91.72,97.35,92.52,88.73,92.07,6.24,1.02,5.91,8.45,5.39,7.78,1.02,9.26,8.47,3.16
2020,41,Huila,242199,93.46,93.38,65.22,92.14,81.78,46.27,103.51,91.73,107.37,112.21,82.25,,,2.49,1.8,1.96,3.32,2.54,89.63,97.93,93.52,83.13,88.15,7.88,0.27,4.52,13.55,9.31,6.85,0.27,5.69,10.59,4.33
2020,44,La Guajira,252101,94.28,94.2,77.87,94.12,58.87,27.06,104.74,117.18,126.28,94.69,57.76,,,2.08,2.35,2.22,1.76,1.92,89.11,94.01,88.9,87.18,91.5,8.81,3.64,8.89,11.06,6.58,5.87,3.64,6.79,6.39,1.96
2020,47,Magdalena,327562,96.03,95.83,61.18,90.4,74.25,42.61,110.91,110.44,117.1,113.68,89.82,,,3.87,5.68,4.26,2.97,3.64,90.81,91.43,92.28,88.47,91.53,5.32,2.9,3.45,8.56,4.83,3.8,2.9,3.67,5.04,1.8
2020,50,Meta,217673,93.91,93.83,65.64,90.98,81.17,47.12,105.44,91.93,108.73,109.93,95.06,,,2.47,3.14,2.25,2.68,2.25,87.06,94.88,89.78,81.83,87.79,10.47,1.98,7.97,15.49,9.95,4.32,1.98,3.53,6.77,2.42
2020,52,Nariño,305761,84.15,84.1,55.01,79.06,69.72,41.01,97.39,79.03,100.83,105.22,82.91,,,1.75,1.02,1.73,2.03,1.43,89.34,95.3,89.94,86.58,91.76,8.91,3.68,8.33,11.4,6.81,4.68,3.68,4.61,6.35,2.35
2020,54,Norte de Santander,325981,90.24,90.16,66.9,89,76.87,41.2,98.32,93.61,106.72,100.01,76.29,,,3.94,4.03,3.65,4.58,3.08,88.82,93.3,89.74,85.95,90.82,7.24,2.67,6.61,9.48,6.11,5.51,2.67,4.57,8.25,4.13
2020,63,Quindio,83129,95.97,95.93,71.49,91.39,87.94,56.4,107.41,96.38,105.63,119.41,94.09,,,3.07,2.76,2.57,3.6,3.27,90.1,96.78,93.22,85.81,89.2,6.83,0.46,4.21,10.59,7.53,6.06,0.46,4.85,9.52,3.34
2020,66,Risaralda,155149,98.9,98.64,69.93,94.52,87.35,52.26,113.87,98.11,112.29,125.43,102.75,,,2.89,2.62,2.56,3.46,2.5,88.68,94.6,91.57,84.32,88.42,8.43,2.78,5.87,12.22,9.08,5.41,2.78,4.41,8.29,2.91
2020,68,Santander,408876,95.97,95.83,68.01,93.45,85.52,51.23,105.54,95.58,107.51,113.25,90.52,,,1.85,1.96,1.58,2.14,1.91,91.04,95.2,93.97,86.71,91.26,7.1,2.84,4.45,11.15,6.84,6.26,2.84,4.7,9.96,4.02
